dataset,method,top1_accuracy,top5_accuracy,ece,quant_type,exp_name
shot_noise,lame,55.609997,78.409996,0.043342,quant8_bs64,lame_quant8_bs64_calibration
impulse_noise,lame,56.511997,79.358002,0.061874,quant8_bs64,lame_quant8_bs64_calibration
defocus_blur,lame,45.689999,67.995995,0.060402,quant8_bs64,lame_quant8_bs64_calibration
glass_blur,lame,34.211998,56.655998,0.084365,quant8_bs64,lame_quant8_bs64_calibration
motion_blur,lame,52.416,75.07,0.024111,quant8_bs64,lame_quant8_bs64_calibration
zoom_blur,lame,42.882,66.377998,0.059695,quant8_bs64,lame_quant8_bs64_calibration
snow,lame,57.149998,82.571999,0.062828,quant8_bs64,lame_quant8_bs64_calibration
frost,lame,59.747997,81.699997,0.179004,quant8_bs64,lame_quant8_bs64_calibration
fog,lame,65.262001,82.872002,0.479862,quant8_bs64,lame_quant8_bs64_calibration
brightness,lame,76.82,94.167999,0.094543,quant8_bs64,lame_quant8_bs64_calibration
contrast,lame,8.042,49.841999,0.425971,quant8_bs64,lame_quant8_bs64_calibration
elastic_transform,lame,43.461998,67.580002,0.099498,quant8_bs64,lame_quant8_bs64_calibration
pixelate,lame,66.014,86.863998,0.053516,quant8_bs64,lame_quant8_bs64_calibration
jpeg_compression,lame,66.43,87.551994,0.071639,quant8_bs64,lame_quant8_bs64_calibration
gaussian_noise,cazo,52.675999,75.897995,0.020725,quant6_bs64,cazo_quant6_bs64_adapter3_rf384_nu0.8
shot_noise,cazo,53.983997,77.113998,0.026481,quant6_bs64,cazo_quant6_bs64_adapter3_rf384_nu0.8
impulse_noise,cazo,54.405998,77.374001,0.024052,quant6_bs64,cazo_quant6_bs64_adapter3_rf384_nu0.8
defocus_blur,cazo,51.239998,75.472,0.031755,quant6_bs64,cazo_quant6_bs64_adapter3_rf384_nu0.8
glass_blur,cazo,54.109997,77.903999,0.029047,quant6_bs64,cazo_quant6_bs64_adapter3_rf384_nu0.8
motion_blur,cazo,58.334,81.029999,0.02841,quant6_bs64,cazo_quant6_bs64_adapter3_rf384_nu0.8
zoom_blur,cazo,58.261997,80.792,0.027792,quant6_bs64,cazo_quant6_bs64_adapter3_rf384_nu0.8
snow,cazo,65.893997,86.650002,0.046662,quant6_bs64,cazo_quant6_bs64_adapter3_rf384_nu0.8
frost,cazo,66.059998,86.175995,0.046832,quant6_bs64,cazo_quant6_bs64_adapter3_rf384_nu0.8
